epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.78,0.69832,1.39667,0.91871,0.96583,0.94111,0.98477,0.8034,0.65898,1.01083,0.9342,0.000554374,0.000554374,0.000554374
2,329.913,0.70232,0.78073,0.93214,0.95912,0.93042,0.977,0.80265,0.65064,0.67331,0.9329,0.00109905,0.00109905,0.00109905
3,521.168,0.68651,0.61911,0.93377,0.96813,0.958,0.98569,0.80408,0.63822,0.52079,0.95635,0.00163273,0.00163273,0.00163273
4,730.21,0.67696,0.55126,0.92622,0.95744,0.97208,0.97344,0.80369,0.61989,0.48716,0.91589,0.00161749,0.00161749,0.00161749
5,946.741,0.6438,0.49995,0.91335,0.96036,0.96776,0.98729,0.80752,0.64613,0.47286,0.91534,0.00160099,0.00160099,0.00160099
6,1148.34,0.63997,0.48016,0.91589,0.97918,0.97149,0.99182,0.84037,0.56667,0.39817,0.88363,0.00158448,0.00158448,0.00158448
7,1364.31,0.63984,0.46234,0.9146,0.96491,0.9623,0.98794,0.84314,0.56043,0.39098,0.88824,0.00156798,0.00156798,0.00156798
8,1589.57,0.61807,0.45099,0.90135,0.96763,0.9697,0.98793,0.85203,0.54033,0.37635,0.8797,0.00155148,0.00155148,0.00155148
9,1812.25,0.60534,0.42408,0.90074,0.97998,0.97829,0.99296,0.86449,0.53618,0.35972,0.87697,0.00153497,0.00153497,0.00153497
10,2026.28,0.60149,0.41589,0.90484,0.97857,0.95484,0.98653,0.84074,0.57855,0.39537,0.90183,0.00151847,0.00151847,0.00151847
11,2241.18,0.5994,0.40593,0.89893,0.98293,0.975,0.99283,0.86564,0.5228,0.34851,0.87643,0.00150197,0.00150197,0.00150197
12,2453.9,0.58837,0.40227,0.89456,0.97602,0.97917,0.99068,0.86016,0.51986,0.34127,0.87178,0.00148546,0.00148546,0.00148546
13,2657.36,0.58061,0.39805,0.89629,0.97802,0.97471,0.99183,0.85194,0.54833,0.35847,0.87922,0.00146896,0.00146896,0.00146896
14,2884.03,0.58535,0.39139,0.89517,0.9703,0.9804,0.98646,0.85085,0.53482,0.35022,0.87719,0.00145246,0.00145246,0.00145246
15,3121.27,0.58531,0.38733,0.89309,0.97521,0.97928,0.99251,0.85776,0.53973,0.3469,0.88231,0.00143595,0.00143595,0.00143595
16,3369.04,0.57428,0.37414,0.89445,0.97854,0.97494,0.9913,0.86897,0.52016,0.32879,0.86867,0.00141945,0.00141945,0.00141945
17,3632.03,0.56713,0.3733,0.89347,0.98831,0.9755,0.99267,0.87418,0.50629,0.32174,0.86635,0.00140295,0.00140295,0.00140295
18,3878.63,0.57058,0.37811,0.89036,0.98078,0.9841,0.99319,0.86897,0.50975,0.33191,0.87006,0.00138644,0.00138644,0.00138644
19,4119.61,0.56638,0.37001,0.89178,0.98023,0.97873,0.9913,0.87306,0.50401,0.31197,0.86503,0.00136994,0.00136994,0.00136994
20,4375.01,0.56151,0.36526,0.8898,0.98454,0.98705,0.9936,0.88433,0.49466,0.29982,0.85771,0.00135344,0.00135344,0.00135344
21,4625.49,0.55848,0.35726,0.88734,0.98139,0.98172,0.99082,0.88245,0.50725,0.3073,0.8708,0.00133693,0.00133693,0.00133693
22,4888.5,0.56138,0.35174,0.88661,0.98544,0.97697,0.99218,0.87611,0.50623,0.30127,0.86369,0.00132043,0.00132043,0.00132043
